,Time_GFOC,Time_SWMA,GFOC_is_man_or_missing,SWMA_is_man_or_missing,Residual_is_man_or_missing
10080,2023-01-06,2023-01-06,False,True,-1.0
67680,2023-01-26,2023-01-26,False,True,-1.0
289440,2023-04-13,2023-04-13,False,True,-1.0
326880,2023-04-26,2023-04-26,False,True,-1.0
349920,2023-05-04,2023-05-04,False,True,-1.0
364320,2023-05-09,2023-05-09,False,True,-1.0
370080,2023-05-11,2023-05-11,False,True,-1.0
387360,2023-05-17,2023-05-17,False,True,-1.0
407520,2023-05-24,2023-05-24,False,True,-1.0
413280,2023-05-26,2023-05-26,False,True,-1.0
430560,2023-06-01,2023-06-01,False,True,-1.0
447840,2023-06-07,2023-06-07,False,True,-1.0
545760,2023-07-11,2023-07-11,False,True,-1.0
560160,2023-07-16,2023-07-16,False,True,-1.0
606240,2023-08-01,2023-08-01,False,True,-1.0
666720,2023-08-22,2023-08-22,False,True,-1.0
669600,2023-08-23,2023-08-23,False,True,-1.0
692640,2023-08-31,2023-08-31,False,True,-1.0
874080,2023-11-02,2023-11-02,False,True,-1.0
1092960,2024-01-17,2024-01-17,False,True,-1.0
1156320,2024-02-08,2024-02-08,False,True,-1.0
1349280,2024-04-15,2024-04-15,False,True,-1.0
1458720,2024-05-23,2024-05-23,False,True,-1.0
